Factorial,DataType,Before,After,Size,Duration
10055,List,1678486985,1678486985,4102440,0.037339926
10056,Array,1678486985,1678486985,80456,0.001509905
10056,List,1678486985,1678486985,4102848,0.036980152
10057,Array,1678486985,1678486985,80464,0.001729965
10057,List,1678486985,1678486985,4103256,0.040650129
10058,Array,1678486985,1678486985,80472,0.003419876
10058,List,1678486985,1678486985,4103664,0.039030075
10059,Array,1678486985,1678486985,80480,0.001780033
10059,List,1678486985,1678486985,4104072,0.036980152
10060,Array,1678486985,1678486985,80488,0.001840115
10060,List,1678486985,1678486985,4104480,0.037070036
10061,Array,1678486985,1678486986,80496,0.004589796
10061,List,1678486986,1678486986,4104888,0.036070108
10062,Array,1678486986,1678486986,80504,0.001410007
10062,List,1678486986,1678486986,4105296,0.039349794
10063,Array,1678486986,1678486986,80512,0.002249956
10063,List,1678486986,1678486986,4105704,0.038940191
10064,Array,1678486986,1678486986,80520,0.001470089
10064,List,1678486986,1678486986,4106112,0.039270163
10065,Array,1678486986,1678486986,80528,0.00187993
10065,List,1678486986,1678486986,4106520,0.040960073
10066,Array,1678486986,1678486986,80536,0.002120018
10066,List,1678486986,1678486986,4106928,0.035370111
10067,Array,1678486986,1678486986,80544,0.001610041
10067,List,1678486986,1678486986,4107336,0.037180185
10068,Array,1678486986,1678486986,80552,0.002009869
10068,List,1678486986,1678486986,4107744,0.036959887
10069,Array,1678486986,1678486986,80560,0.001680136
10069,List,1678486986,1678486986,4108152,0.037499905
10070,Array,1678486986,1678486986,80568,0.002029896
10070,List,1678486986,1678486986,4108560,0.037230015
10071,Array,1678486986,1678486986,80576,0.001940012
10071,List,1678486986,1678486986,4108968,0.038049936
10072,Array,1678486986,1678486986,80584,0.001399994
10072,List,1678486986,1678486986,4109376,0.038850069
10073,Array,1678486986,1678486986,80592,0.00177002
10073,List,1678486986,1678486986,4109784,0.037609816
10074,Array,1678486986,1678486986,80600,0.001919985
10074,List,1678486986,1678486986,4110192,0.037209988
10075,Array,1678486986,1678486986,80608,0.001940012
10075,List,1678486986,1678486986,4110600,0.038069963
10076,Array,1678486986,1678486986,80616,0.001970053
10076,List,1678486986,1678486986,4111008,0.038419962
10077,Array,1678486986,1678486986,80624,0.001489878
10077,List,1678486986,1678486986,4111416,0.038079977
10078,Array,1678486986,1678486986,80632,0.002110004
10078,List,1678486986,1678486986,4111824,0.038120031
10079,Array,1678486986,1678486986,80640,0.002039909
10079,List,1678486986,1678486986,4112232,0.03730011
10080,Array,1678486986,1678486986,80648,0.002220154
10080,List,1678486986,1678486986,4112640,0.037400007
10081,Array,1678486986,1678486986,80656,0.002080202
10081,List,1678486986,1678486986,4113048,0.038400173
10082,Array,1678486986,1678486986,80664,0.001399994
10082,List,1678486986,1678486986,4113456,0.037599802
10083,Array,1678486986,1678486986,80672,0.002120018
10083,List,1678486986,1678486986,4113864,0.046410084
10084,Array,1678486986,1678486986,80680,0.001890182
10084,List,1678486986,1678486986,4114272,0.037789822
10085,Array,1678486986,1678486986,80688,0.002249956
10085,List,1678486986,1678486987,4114680,0.037490129
10086,Array,1678486987,1678486987,80696,0.003629923
10086,List,1678486987,1678486987,4115088,0.040989876
10087,Array,1678486987,1678486987,80704,0.002460003
10087,List,1678486987,1678486987,4115496,0.039969921
10088,Array,1678486987,1678486987,80712,0.002040148
10088,List,1678486987,1678486987,4115904,0.039000034
10089,Array,1678486987,1678486987,80720,0.002099991
10089,List,1678486987,1678486987,4116312,0.038759947
10090,Array,1678486987,1678486987,80728,0.002150059
10090,List,1678486987,1678486987,4116720,0.037809849
10091,Array,1678486987,1678486987,80736,0.002140045
10091,List,1678486987,1678486987,4117128,0.039210081
10092,Array,1678486987,1678486987,80744,0.001600027
10092,List,1678486987,1678486987,4117536,0.038550138
